id,name,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,created_at,vegan,vegetarian,note
2161,L'Écume Saint-Honoré - Restaurant,restaurant,seafood,75101,75,48.865944098591,2.33121183340418,2024-12-12 09:09:27,0,0,
2162,Pizza e Mozza,restaurant,pizza,75101,75,48.8602971266039,2.34816599277229,2024-12-12 09:09:27,0,1,
2163,Trantranzai,restaurant,chinese,75101,75,48.8631581216141,2.34989727487277,2024-12-12 09:09:27,0,0,
2164,Bistrot Victoires,restaurant,,75101,75,48.8655553459218,2.34038456914212,2024-12-12 09:09:27,0,0,
2165,Bao's,restaurant,asian,75101,75,48.8630489892348,2.34883788613067,2024-12-12 09:09:27,0,0,
2166,Au Coin des Gourmets Indochine,restaurant,asian,75101,75,48.866527898147,2.32634504896456,2024-12-12 09:09:27,0,0,
2167,Crêperie Parisienne,restaurant,,75101,75,48.8588884639566,2.34123306920037,2024-12-12 09:09:27,0,0,
2168,Café Plume,restaurant,,75101,75,48.8621876648647,2.33975106490027,2024-12-12 09:09:27,0,0,
2169,Chikoja,restaurant,korean,75101,75,48.8660146742157,2.3354945668307,2024-12-12 09:09:27,0,0,
2170,Andiamo,restaurant,,75101,75,48.8654725327184,2.32711794425617,2024-12-12 09:09:27,0,0,
2171,La Robe et le Palais,restaurant,"bistro, french",75101,75,48.8586436285649,2.34585007292543,2024-12-12 09:09:27,0,0,
2172,Bar de l'Entracte,restaurant,,75101,75,48.8663914407633,2.33752935764511,2024-12-12 09:09:27,0,0,
2173,Flam's,restaurant,"alsatian, flammkuchen",75101,75,48.8598867486246,2.34763105971175,2024-12-12 09:09:27,0,1,
2174,Yahmi,restaurant,,75101,75,48.8580662830743,2.34583423112844,2024-12-12 09:09:27,0,0,
2175,Granite,restaurant,french,75101,75,48.8610075767169,2.34199104470437,2024-12-12 09:09:27,0,0,
2176,Maison Paul,restaurant,,75101,75,48.8562370165257,2.34216052678653,2024-12-12 09:09:27,0,0,
2177,Aoi Sushi,restaurant,sushi,75101,75,48.8623241222484,2.34030033101521,2024-12-12 09:09:27,0,0,
2178,Chiyoda,restaurant,japanese,75101,75,48.8615784681421,2.34210042854076,2024-12-12 09:09:27,0,0,
2179,Kinn Khao,restaurant,thai,75101,75,48.8645484278935,2.3330031299314,2024-12-12 09:09:27,0,0,
2180,Le Palais Royal,restaurant,french,75101,75,48.8657485487899,2.33897582267576,2024-12-12 09:09:27,0,0,
