restaurant_name,address,phone_number,reviews_count,reviews_average,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,vegan,vegetarian
l'escargot montorgueil,"38 Rue Montorgueil, 75001 Paris",01 42 36 83 51,5798,4.2,restaurant,,75101,75,48.8641677218514,2.34670376976368,0,0
le passage saint honoré,"33 Pl. du Marché Saint-Honoré, 75001 Paris",01 42 96 31 34,1426,4.2,restaurant,,75101,75,48.8676683398928,2.33168691967606,0,0
sur mesure,"251 Rue Saint-Honoré, 75001 Paris",01 70 98 73 00,362,4.5,restaurant,french,75101,75,48.8669486696863,2.32703957346152,0,0
macéo,"15 Rue des Petits Champs, 75001 Paris",01 85 15 22 56,627,4.4,restaurant,,75101,75,48.8663902672969,2.33808432345421,1,1
foujita,"41 Rue Saint-Roch, 75001 Paris",09 83 96 77 55,1950,4.3,restaurant,"sushi, japanese",75101,75,48.8663998226665,2.33281478856708,0,0
au vieux comptoir,"17 Rue des Lavandières Sainte-Opportune, 75001 Paris",01 45 08 53 08,847,4.6,restaurant,,75101,75,48.858834233043,2.34602433269242,0,0
kalbas',"Métro Les Halles Sortie porte Berger, Pass. des Lingeres, 75001 Paris",06 19 56 60 74,205,5.0,restaurant,,75101,75,48.861250819547,2.34610907373352,0,0
l'épi d'or,"25 Rue Jean-Jacques Rousseau, 75001 Paris",01 42 36 38 12,314,3.8,restaurant,french,75101,75,48.8628800938859,2.3411021438728,0,0
bean,"7 Rue Danielle Casanova, 75001 Paris",01 40 20 00 98,114,4.2,restaurant,japanese,75101,75,48.867610672399,2.33299164672405,0,0
la verrière des halles,"Restaurant à l’escargot, 40 Rte de Bondy, 93600 Aulnay-sous-Bois",01 42 61 37 17,392,4.1,restaurant,,75101,75,48.8627202509923,2.34803917457728,0,0
cial,"16 Rue Mondétour, 75001 Paris",01 40 26 74 39,565,4.3,restaurant,korean,75101,75,48.8627974483206,2.34806683485775,0,0
hong yuan,"5 Rue des Halles, 75001 Paris",01 40 28 91 41,107,3.9,restaurant,chinese,75101,75,48.8592181242084,2.34701649857107,0,0
l'incroyable,"13 Av. de l'Hurepoix, 91700 Sainte-Geneviève-des-Bois",01 69 46 22 58,821,4.1,restaurant,,75101,75,48.8650199937661,2.33662922506329,0,0
végét'halles,"41 Rue des Bourdonnais, 75001 Paris",01 40 41 93 95,1617,4.3,restaurant,,75101,75,48.8605713824758,2.34549744625895,1,1
a casaluna,"6 Rue de Beaujolais, 75001 Paris",01 42 60 05 11,827,4.4,restaurant,corsican,75101,75,48.8660742695472,2.33905377437526,0,0
la taverne de l'arbre sec,"109 Rue Saint-Honoré, 75001 Paris",01 40 41 10 36,747,4.2,restaurant,,75101,75,48.8613399191777,2.34265799273987,0,0
aux deux écus,"1 Pl. des Deux Ecus, 75001 Paris",01 42 36 37 83,839,4.1,restaurant,,75101,75,48.8626976198538,2.34148452629557,0,0
omar dhiab,"23 Rue Hérold, 75001 Paris",01 42 33 52 47,934,4.9,restaurant,,75101,75,48.8651634919484,2.34193547268632,0,0
lémoni café,"5 Rue Hérold, 75001 Paris",01 45 08 49 84,176,4.5,restaurant,,75101,75,48.8647972865988,2.34117783245847,0,0
l’as de trèfle,"12 Rue Coquillière, 75001 Paris",09 78 81 27 56,550,3.9,restaurant,,75101,75,48.8636303580389,2.34333692689694,0,0
au père fouettard,"9 Rue Pierre Lescot, 75001 Paris",01 42 33 74 17,2683,4.0,restaurant,european,75101,75,48.8626764974578,2.34840445791758,0,0
mimosa,"27 Rue du Pont Neuf, 75001 Paris",01 40 26 30 74,975,4.1,restaurant,,75101,75,48.8608322273025,2.34452631895726,0,1
sushi one,"7 Rue des Lavandières Sainte-Opportune, 75001 Paris",01 42 36 62 90,157,3.4,restaurant,japanese,75101,75,48.8583432211551,2.34574094054614,0,0
les artizans,"30 Rue Montorgueil, 75001 Paris",01 40 28 44 74,1251,4.4,restaurant,french,75101,75,48.863773185669,2.34655188967815,0,0
pizi,"58 Rue Jean-Jacques Rousseau, 75001 Paris",01 84 75 27 17,59,4.7,restaurant,,75101,75,48.8639888520377,2.34359508951468,0,0
irasshai,"40 Rue du Louvre, 75001 Paris",01 84 74 35 30,1181,4.2,restaurant,japanese,75101,75,48.862542470826,2.341855425511,0,0
le grand véfour,"17 Rue de Beaujolais, 75001 Paris",01 42 96 56 27,1388,4.4,restaurant,french,75101,75,48.8662292509369,2.33797669981746,0,0
le galant,"7 Rue de la Cossonnerie, 75001 Paris",09 51 22 07 46,1012,4.1,restaurant,pizza,75101,75,48.8613491392712,2.34871274431629,0,0
shanghaï hang-tcheou,"4 Rue Perrault, 75001 Paris",01 42 60 18 20,227,4.0,restaurant,chinese,75101,75,48.8602964560516,2.34185391676843,0,0
le petit st honoré,"158 Rue Saint-Honoré, 75001 Paris",01 42 60 08 06,472,4.1,restaurant,,75101,75,48.8621102998984,2.33987327304854,0,0
mipi,"11 Rue Danielle Casanova, 75001 Paris",01 42 86 80 80,195,4.1,restaurant,"italian_pizza, italian",75101,75,48.8676811642046,2.33265486185454,0,0
madeleine 7,"7 Bd de la Madeleine, 75001 Paris",01 42 61 10 35,994,3.8,restaurant,,75101,75,48.8695669247806,2.32704879355501,0,0
le mc queen japonais,"16 Rue Molière, 75001 Paris",01 42 61 54 67,272,4.6,restaurant,,75101,75,48.865067351519,2.33603394229991,0,0
le carrousel,"1 place des pyramides, 194 Rue de Rivoli, 75001 Paris",01 42 33 65 48,1887,4.1,restaurant,french,75101,75,48.8640223796504,2.33169203263699,0,0
yam'tcha,"121 Rue Saint-Honoré, 75001 Paris",01 40 26 08 07,482,4.5,restaurant,asian,75101,75,48.8614962416719,2.34182684322118,0,0
al boustan,"21 Rue Montorgueil, 75001 Paris",01 40 41 02 40,1252,4.1,restaurant,lebanese,75101,75,48.8640042747395,2.34642658022571,1,0
atelier beyrouth,"2 Quai de la Mégisserie, 75001 Paris",01 71 26 74 59,170,4.1,restaurant,,75101,75,48.8577050230475,2.34593875346101,0,0
jjan!,"14 Rue du Pont Neuf, 75001 Paris",,1256,4.0,restaurant,korean,75101,75,48.8601291532643,2.34433906724036,0,0
la dame de pic,"20 Rue du Louvre, 75001 Paris",01 42 60 40 40,1147,4.6,restaurant,french,75101,75,48.861443687139,2.34124756989286,0,0
le saint honoré,"29 Rue du Pont Neuf, 75001 Paris",01 44 76 00 02,526,3.4,restaurant,,75101,75,48.8609825986455,2.34464048047846,0,0
délices viet,"38 Rue Coquillière, 75001 Paris",01 45 08 52 59,686,4.6,restaurant,asian,75101,75,48.8644302430588,2.3412674350034,0,0
pharamond,"24 Rue de la Grande Truanderie, 75001 Paris",,5279,4.2,restaurant,,75101,75,48.8634293600008,2.34904617642454,0,0
la cles des champs,"49 Rue des Petits Champs, 75001 Paris",01 42 96 56 72,130,4.2,restaurant,,75101,75,48.8670238553578,2.33533539448942,0,0
il fico,"31 Rue Coquillière, 75001 Paris",01 44 82 55 23,348,4.5,restaurant,italian,75101,75,48.8641869164097,2.34149768588355,0,0
ti amo,"25 Rue de la Reynie, 75001 Paris",01 42 36 22 31,912,4.4,restaurant,,75101,75,48.8600176739521,2.34858944652061,0,0
satoshi,"29 Rue des Petits Champs, 75001 Paris",01 40 20 91 40,322,4.1,restaurant,japanese,75101,75,48.8666563927227,2.33698294137722,0,0
koshi,"3 Rue du Roule, 75001 Paris",01 40 28 48 39,416,3.7,restaurant,japanese,75101,75,48.8603775928744,2.3434699477003,0,0
mamatchai,"46 Rue Saint-Honoré, 75001 Paris",01 40 41 98 94,494,4.5,restaurant,asian,75101,75,48.8612015339564,2.34429916938126,0,1
sanjo,"29 Rue d'Argenteuil, 75001 Paris",01 40 28 08 78,765,4.6,restaurant,"japanese, ramen",75101,75,48.8663468490385,2.33315735694978,0,0
bistro burger,"26 Rue Montorgueil, 75001 Paris",01 44 82 56 64,1402,4.1,restaurant,burger,75101,75,48.8636453616456,2.34654007119468,0,1
brasserie du louvre,"Place André Malraux, Paris, Île-de-France, France, 75001, 75001 Paris",01 44 58 37 21,653,4.1,restaurant,french,75101,75,48.862846063359,2.33626654011297,0,0
café joséphine,"3 Pl. des Deux Ecus, 75001 Paris",01 89 19 59 89,879,4.3,restaurant,,75101,75,48.8628139606698,2.34134639253128,0,0
